id;domain_name;cpu;ram;storage;traffic
1;Investor Public-key;14489;53093;48945;44778
2;Dominican Republic Credit Card Account Handmade;36965;23763;24215;72821
3;web-enabled invoice withdrawal;53577;81643;9028;79834
4;Gloves Bedfordshire Argentine Peso;85835;59089;32595;67756
5;Clothing;51209;80950;22649;34866
6;Rustic Quality;39757;38673;51775;93672
7;Metal bricks-and-clicks Concrete;92469;54144;87733;69578
8;Profound;17495;81722;98216;55520
9;Equatorial Guinea Vision-oriented;9310;96541;89721;55829
10;THX pink even-keeled;70035;72595;84666;89711
