id;code;date;details;status;payment_method;payment_date;payment_amount
1;Industrial;2019-11-05T19:15:02;Fantastic time-frame Quality;CANCELLED;CREDIT_CARD;2019-11-06T09:05:29;55370
2;ivory Data neural;2019-11-06T14:15:22;Optimization;ISSUED;PAYPAL;2019-11-06T00:28:01;76151
3;Auto Loan Account Refined Practical;2019-11-06T00:09:23;Fantastic Fresh Salad;PAID;CREDIT_CARD;2019-11-05T21:28:21;23668
4;Principal Pennsylvania dynamic;2019-11-05T23:58:59;Buckinghamshire;PAID;CREDIT_CARD;2019-11-06T07:15:17;46866
5;Handmade Wooden Cheese Fresh;2019-11-06T01:23:54;synthesize Idaho Markets;PAID;CASH_ON_DELIVERY;2019-11-06T16:41:15;97790
6;Arizona success Sleek Frozen Chips;2019-11-05T18:55:15;Optional;PAID;CREDIT_CARD;2019-11-06T07:45:31;90115
7;Unbranded Plastic Chips Brand Regional;2019-11-06T06:02:37;Money Market Account;CANCELLED;CASH_ON_DELIVERY;2019-11-06T02:58:18;26593
8;holistic;2019-11-06T10:44:26;Ridges Beauty dynamic;ISSUED;CREDIT_CARD;2019-11-06T15:09:02;82253
9;Group hard drive Personal Loan Account;2019-11-06T06:56:30;Accountability;PAID;PAYPAL;2019-11-06T02:43:13;74957
10;redefine transmitting;2019-11-06T03:19:18;Practical Steel Shirt Plastic Movies;CANCELLED;CASH_ON_DELIVERY;2019-11-06T02:56:09;76898
