id;domain_name;accountid;account_name;cpu;ram;storage;traffic
1;mobile Fish;77969;Home Loan Account;59685;15601;44583;15599
2;Practical Fresh Pants;60111;Savings Account;70807;65088;2058;5641
3;transmitter Implementation Electronics;99221;Savings Account;61748;30424;61165;52475
4;web-readiness;29122;Home Loan Account;61185;39986;13949;4666
5;Coordinator;23277;Investment Account;9060;78517;61838;19967
6;Cambridgeshire Mississippi;4645;Auto Loan Account;60754;68030;17052;45049
7;Automotive;94220;Personal Loan Account;56328;80839;38541;30461
8;Intelligent;68423;Savings Account;44015;68326;12203;60999
9;backing up Salad;39106;Money Market Account;18223;66252;75536;31171
10;Costa Rica Mayotte;18485;Checking Account;96958;84228;77513;44975
