id;name;accountid;account_name;cpu;ram;disk;traffic;template
1;mobile Fish;77969;Home Loan Account;59685;15601;44583;15599;Practical Fresh Pants
2;Metal deposit;5641;Personal Loan Account;72199;83244;93855;21233;Chips
3;Money Market Account;61165;Home Loan Account;706;43194;2306;29122;Investment Account Steel
4;Coordinator;23277;Investment Account;9060;78517;61838;19967;Cambridgeshire Mississippi
5;HDD;68030;Savings Account;45049;6505;1326;94888;Planner cross-platform access
6;Public-key;24102;Investment Account;68326;12203;60999;49517;Games Regional Digitized
7;copy convergence;20794;Home Loan Account;56770;18485;3131;96958;connect Markets Chief
8;capacitor archive;57044;Savings Account;52083;4522;96117;32533;scale interactive generating
9;Specialist Home Loan Account;27599;Savings Account;29627;80219;16526;7455;Administrator
10;reinvent 24 hour Jewelery;19884;Credit Card Account;71134;72900;79017;77127;Unbranded Plastic Tuna Frozen
